game,seed,status,completed,progress_frames,progress_agent_actions,progress_source,latest_score_frame,latest_score,score_source,logdir,error_hint
ms_pacman,1,completed,True,440000,110000,update_trace_v6,440000,1720.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/ms_pacman/seed_1,
ms_pacman,2,completed,True,440000,110000,update_trace_v6,438280,930.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/ms_pacman/seed_2,
ms_pacman,3,completed,True,440000,110000,update_trace_v6,437708,1660.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/ms_pacman/seed_3,
ms_pacman,4,completed,True,440000,110000,update_trace_v6,439832,1430.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/ms_pacman/seed_4,
pong,0,completed,True,440000,110000,update_trace_v6,434476,-13.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/pong/seed_0,
pong,1,completed,True,440000,110000,update_trace_v6,436772,-8.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/pong/seed_1,
pong,2,completed,True,440000,110000,update_trace_v6,434000,-16.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/pong/seed_2,
pong,3,completed,True,440000,110000,update_trace_v6,427080,-14.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/pong/seed_3,
pong,4,completed,True,440000,110000,update_trace_v6,433008,-18.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/pong/seed_4,
private_eye,0,completed,True,440000,110000,update_trace_v6,431216,100.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/private_eye/seed_0,
private_eye,1,completed,True,440000,110000,update_trace_v6,431140,100.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/private_eye/seed_1,
private_eye,2,completed,True,440000,110000,update_trace_v6,431168,100.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/private_eye/seed_2,
private_eye,3,completed,True,440000,110000,update_trace_v6,431244,100.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/private_eye/seed_3,
private_eye,4,completed,True,440000,110000,update_trace_v6,431216,4058.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/private_eye/seed_4,
qbert,0,completed,True,440000,110000,update_trace_v6,437544,4050.0,scores.jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/qbert/seed_0,
