game,seed,partial_or_complete,source,source_file,x_axis_agent_actions,x_axis_frames,eval_return_mean,eval_return_std,eval_episodes,timestamp,notes
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,15105.0,60420.0,3.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,15259.0,61036.0,1.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,15439.0,61756.0,2.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,15565.0,62260.0,0.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,15850.0,63400.0,3.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,16131.0,64524.0,1.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,16431.0,65724.0,2.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,16659.0,66636.0,0.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,16969.0,67876.0,0.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,17554.0,70216.0,2.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
breakout,0,complete,metrics_jsonl,/mnt/disk1/backup_user/dat.tt2/xuance/logs/external_baselines/dreamerv3_official/full26_size12m/breakout/seed_0/metrics.jsonl,17880.0,71520.0,4.0,,1,,"x_axis recovered as logged step=frames; agent_actions=step/action_repeat; episode/score is a single episode score, not an aggregated eval mean"
